Index,Latency
0.00049,1.430
0.00098,1.430
0.00195,1.430
0.00293,1.430
0.00391,1.430
0.00586,1.430
0.00781,1.431
0.00977,1.431
0.01172,1.430
0.01367,1.430
0.01562,1.430
0.01758,1.431
0.01953,1.430
0.02148,1.431
0.02344,1.431
0.02539,1.430
0.02734,1.431
0.02930,1.430
0.03125,1.431
0.03516,1.431
0.03906,1.431
0.04297,1.431
0.04688,1.431
0.05078,1.431
0.05469,1.431
0.05859,1.431
0.06250,1.430
0.07031,1.510
0.07812,1.438
0.08594,1.452
0.09375,1.455
0.10156,1.451
0.10938,1.453
0.11719,1.453
0.12500,1.455
0.14062,1.434
0.15625,1.434
0.17188,1.450
0.18750,1.448
0.20312,1.448
0.21875,1.448
0.23438,1.433
0.25000,1.433
0.28125,1.450
0.31250,1.450
0.34375,1.448
0.37500,1.448
0.40625,1.448
0.43750,1.432
0.46875,1.448
0.50000,1.448
0.56250,1.433
0.62500,1.449
0.68750,1.434
0.75000,1.438
0.81250,1.457
0.87500,1.456
0.93750,1.457
1.00000,1.459
1.12500,1.460
1.25000,1.461
1.37500,1.457
1.50000,1.459
1.62500,1.457
1.75000,1.434
1.87500,1.433
2.00000,1.456
2.25000,1.434
2.50000,1.461
2.75000,1.458
3.00000,1.462
3.25000,1.542
3.50000,1.508
3.75000,1.469
4.00000,1.491
4.50000,1.434
5.00000,1.456
5.50000,1.469
6.00000,1.458
6.50000,1.452
7.00000,1.432
7.50000,1.459
8.00000,1.458
9.00000,1.469
10.00000,1.536
11.00000,1.471
12.00000,1.440
13.00000,1.468
14.00000,1.468
15.00000,1.437
16.00000,1.466
18.00000,1.438
20.00000,1.466
22.00000,1.465
24.00000,1.465
26.00000,1.465
28.00000,1.467
30.00000,1.466
32.00000,1.466
36.00000,1.433
40.00000,1.463
44.00000,1.434
48.00000,1.434
52.00000,1.434
56.00000,1.461
60.00000,1.461
64.00000,1.434
72.00000,1.462
80.00000,1.461
88.00000,1.462
96.00000,1.463
104.00000,1.434
112.00000,1.434
120.00000,1.461
128.00000,1.464
144.00000,1.462
160.00000,1.461
176.00000,1.461
192.00000,1.462
208.00000,1.461
224.00000,1.461
240.00000,1.433
256.00000,1.463
288.00000,1.461
320.00000,1.461
352.00000,1.462
384.00000,1.459
416.00000,1.460
448.00000,1.434
480.00000,1.434
512.00000,1.460
576.00000,1.459
640.00000,1.460
704.00000,1.459
768.00000,1.462
832.00000,1.456
896.00000,1.459
960.00000,1.434
1024.00000,1.461
1152.00000,1.461
1280.00000,1.460
1408.00000,1.462
1536.00000,1.433
1664.00000,1.460
1792.00000,1.460
1920.00000,1.460
2048.00000,1.461
2304.00000,1.462
2560.00000,1.558
2816.00000,1.526
3072.00000,1.527
3328.00000,1.628
3584.00000,21.121
3840.00000,29.469
