Index,Latency
0.00049,1.524
0.00098,1.524
0.00195,1.524
0.00293,1.524
0.00391,1.524
0.00586,1.524
0.00781,1.524
0.00977,1.524
0.01172,1.524
0.01367,1.524
0.01562,1.524
0.01758,1.524
0.01953,1.524
0.02148,1.524
0.02344,1.524
0.02539,1.525
0.02734,1.525
0.02930,1.524
0.03125,1.524
0.03516,1.524
0.03906,3.191
0.04297,1.524
0.04688,1.524
0.05078,2.676
0.05469,3.289
0.05859,3.525
0.06250,2.818
0.07031,3.709
0.07812,4.158
0.08594,4.222
0.09375,4.024
0.10156,4.542
0.10938,4.600
0.11719,4.241
0.12500,4.380
0.14062,4.563
0.15625,4.314
0.17188,6.086
0.18750,6.087
0.20312,6.089
0.21875,6.094
0.23438,6.092
0.25000,6.100
0.28125,6.089
0.31250,6.096
0.34375,6.082
0.37500,6.080
0.40625,6.089
0.43750,6.274
0.46875,6.101
0.50000,6.241
0.56250,6.211
0.62500,6.154
0.68750,6.190
0.75000,6.142
0.81250,6.299
0.87500,5.842
0.93750,5.923
1.00000,5.910
1.12500,6.074
1.25000,6.081
1.37500,6.152
1.50000,6.171
1.62500,6.216
1.75000,6.272
1.87500,6.317
2.00000,6.328
2.25000,6.603
2.50000,6.806
2.75000,6.957
3.00000,6.829
3.25000,6.563
3.50000,6.701
3.75000,6.730
4.00000,6.759
4.50000,6.750
5.00000,7.249
5.50000,7.654
6.00000,7.637
6.50000,7.912
7.00000,8.090
7.50000,10.772
8.00000,14.387
9.00000,22.993
10.00000,34.760
11.00000,50.220
12.00000,66.957
13.00000,76.880
14.00000,85.521
15.00000,91.310
16.00000,101.382
18.00000,109.730
20.00000,117.223
22.00000,122.525
24.00000,127.016
26.00000,140.025
28.00000,134.914
30.00000,144.626
32.00000,143.054
36.00000,146.347
40.00000,155.374
44.00000,159.599
48.00000,156.921
52.00000,158.892
56.00000,161.106
60.00000,163.044
64.00000,167.358
72.00000,168.344
80.00000,168.841
88.00000,170.019
96.00000,170.817
104.00000,174.022
112.00000,174.253
120.00000,174.835
128.00000,175.567
144.00000,176.539
160.00000,178.303
176.00000,179.963
192.00000,181.928
208.00000,185.128
224.00000,187.856
240.00000,188.476
256.00000,194.789
288.00000,197.605
320.00000,203.960
352.00000,213.592
384.00000,224.545
416.00000,232.162
448.00000,235.411
480.00000,236.930
512.00000,236.078
576.00000,237.910
640.00000,235.457
704.00000,237.278
768.00000,240.310
832.00000,239.268
896.00000,241.251
960.00000,240.733
1024.00000,239.499
1152.00000,241.596
1280.00000,242.666
1408.00000,243.598
1536.00000,246.830
1664.00000,246.430
1792.00000,245.897
1920.00000,244.022
2048.00000,247.225
2304.00000,245.653
2560.00000,246.463
2816.00000,245.504
3072.00000,247.176
3328.00000,246.817
3584.00000,240.473
